City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,2021-04-01 18:20:58,-24.8667,113.6333,78.8,89,40,8.05
1,Kondratovo,RU,2021-04-01 18:23:12,57.9804,56.1066,35.6,100,90,8.95
2,Kintampo,GH,2021-04-01 18:23:13,8.0563,-1.7306,90.28,35,59,8.41
3,Fortuna,US,2021-04-01 18:23:13,40.5982,-124.1573,64.99,87,1,3.44
4,Rozmital Pod Tremsinem,CZ,2021-04-01 18:23:14,49.602,13.8643,60.01,100,77,7.25
5,Kodiak,US,2021-04-01 18:20:49,57.79,-152.4072,23.0,42,1,29.93
6,Albany,US,2021-04-01 18:21:34,42.6001,-73.9662,37.99,65,100,8.01
7,Butaritari,KI,2021-04-01 18:23:16,3.0707,172.7902,82.44,78,37,15.03
8,Wewak,PG,2021-04-01 18:23:16,-3.5534,143.6268,78.66,86,97,3.31
9,Cidreira,BR,2021-04-01 18:23:17,-30.1811,-50.2056,72.88,61,28,9.35
10,Tuktoyaktuk,CA,2021-04-01 18:23:17,69.4541,-133.0374,-20.2,69,20,13.8
11,Qaanaaq,GL,2021-04-01 18:23:18,77.484,-69.3632,6.82,83,100,4.68
12,Mataura,NZ,2021-04-01 18:23:18,-46.1927,168.8643,53.01,93,100,15.99
13,Hilo,US,2021-04-01 18:20:52,19.7297,-155.09,69.01,94,20,4.61
14,Saldanha,ZA,2021-04-01 18:20:24,-33.0117,17.9442,62.6,67,54,10.36
15,Benguela,AO,2021-04-01 18:23:19,-12.5763,13.4055,80.69,75,1,3.09
16,Airai,TL,2021-04-01 18:20:37,-8.9266,125.4092,60.39,94,100,2.66
17,Ahipara,NZ,2021-04-01 18:20:28,-35.1667,173.1667,61.2,88,6,9.86
18,High Level,CA,2021-04-01 18:23:20,58.5169,-117.136,42.8,52,75,4.61
19,Sorland,NO,2021-04-01 18:23:20,67.667,12.6934,40.35,71,100,18.37
20,Bluff,NZ,2021-04-01 18:23:21,-46.6,168.3333,53.01,93,100,15.99
21,Menongue,AO,2021-04-01 18:21:14,-14.6585,17.691,63.95,94,81,1.83
22,Rikitea,PF,2021-04-01 18:21:20,-23.1203,-134.9692,74.32,86,100,14.27
23,Norman Wells,CA,2021-04-01 18:23:22,65.282,-126.8329,1.4,78,90,17.27
24,Busselton,AU,2021-04-01 18:23:22,-33.65,115.3333,62.01,96,85,6.78
25,Payakumbuh,ID,2021-04-01 18:23:23,-0.2202,100.6308,68.88,92,80,3.87
26,Jamestown,US,2021-04-01 18:22:20,42.097,-79.2353,30.99,63,90,23.02
27,Punta Arenas,CL,2021-04-01 18:20:48,-53.15,-70.9167,51.8,76,0,9.22
28,Billings,US,2021-04-01 18:20:28,45.7833,-108.5007,66.99,11,20,21.85
29,Kapit,MY,2021-04-01 18:22:15,2.0167,112.9333,71.51,99,51,0.94
30,Superior,US,2021-04-01 18:23:24,46.7208,-92.1041,39.0,30,1,8.05
31,Te Anau,NZ,2021-04-01 18:23:25,-45.4167,167.7167,54.75,93,100,4.43
32,Montepuez,MZ,2021-04-01 18:23:25,-13.1256,38.9997,66.92,84,47,3.96
33,East London,ZA,2021-04-01 18:23:26,-33.0153,27.9116,64.4,88,75,6.91
34,Chuy,UY,2021-04-01 18:21:02,-33.6971,-53.4616,69.4,62,67,8.14
35,Thompson,CA,2021-04-01 18:22:54,55.7435,-97.8558,39.2,52,75,9.22
36,Georgetown,MY,2021-04-01 18:18:52,5.4112,100.3354,84.99,83,20,6.24
37,Nemuro,JP,2021-04-01 18:23:27,43.3236,145.575,35.06,88,42,7.72
38,Bartica,GY,2021-04-01 18:23:28,6.4,-58.6167,87.8,55,75,13.8
39,Solok,ID,2021-04-01 18:23:08,-0.7918,100.6593,78.8,78,90,2.3
40,Cuauhtemoc,MX,2021-04-01 18:23:29,28.4167,-106.8667,64.0,41,39,10.0
41,Pevek,RU,2021-04-01 18:23:29,69.7008,170.3133,-18.67,97,69,1.86
42,Ushuaia,AR,2021-04-01 18:21:32,-54.8,-68.3,59.0,36,20,17.27
43,Atuona,PF,2021-04-01 18:23:30,-9.8,-139.0333,80.22,80,94,17.43
44,Ancud,CL,2021-04-01 18:23:30,-41.8697,-73.8203,61.0,82,90,4.61
45,Luderitz,NA,2021-04-01 18:22:21,-26.6481,15.1594,68.38,67,0,16.04
46,Atlantic City,US,2021-04-01 18:23:31,39.3643,-74.4229,50.0,46,1,21.85
47,Vao,NC,2021-04-01 18:23:32,-22.6667,167.4833,73.78,84,100,21.79
48,Bengkulu,ID,2021-04-01 18:23:32,-3.8004,102.2655,76.73,87,99,12.55
49,Port Alfred,ZA,2021-04-01 18:23:33,-33.5906,26.891,67.42,73,48,6.67
50,Hobart,AU,2021-04-01 18:20:50,-42.8794,147.3294,57.99,77,90,2.48
51,Erzin,TR,2021-04-01 18:23:34,36.9559,36.2,53.01,84,23,6.46
52,Nisia Floresta,BR,2021-04-01 18:23:34,-6.0911,-35.2086,86.0,62,40,13.8
53,Provideniya,RU,2021-04-01 18:23:35,64.3833,-173.3,5.68,85,98,2.68
54,Saint-Philippe,RE,2021-04-01 18:23:35,-21.3585,55.7679,78.8,69,75,10.36
55,Hermanus,ZA,2021-04-01 18:23:36,-34.4187,19.2345,62.01,72,74,12.86
56,Kerema,PG,2021-04-01 18:23:37,-7.9631,145.7785,76.35,92,100,5.35
57,Smithers,CA,2021-04-01 18:23:37,54.7804,-127.1743,39.2,41,40,10.36
58,Stolin,BY,2021-04-01 18:23:38,51.8912,26.846,53.28,85,100,9.62
59,Hithadhoo,MV,2021-04-01 18:23:38,-0.6,73.0833,83.77,76,85,16.96
60,Kruisfontein,ZA,2021-04-01 18:23:39,-34.0033,24.7314,64.0,71,79,1.01
61,Taganak,PH,2021-04-01 18:23:40,6.0833,118.3,77.0,88,20,4.61
62,Vaini,TO,2021-04-01 18:20:19,-21.2,-175.2,77.0,94,20,4.61
63,Kapaa,US,2021-04-01 18:23:41,22.0752,-159.319,75.2,73,75,13.8
64,Grindavik,IS,2021-04-01 18:23:41,63.8424,-22.4338,41.0,93,90,11.5
65,Bahia Blanca,AR,2021-04-01 18:23:42,-38.7196,-62.2724,76.37,31,8,1.72
66,Kalmunai,LK,2021-04-01 18:23:42,7.4167,81.8167,80.1,78,1,7.92
67,Three Hills,CA,2021-04-01 18:23:42,51.7001,-113.2686,60.8,16,100,17.27
68,Yinchuan,CN,2021-04-01 18:20:17,38.4681,106.2731,43.0,61,100,5.23
69,Iqaluit,CA,2021-04-01 18:23:43,63.7506,-68.5145,-14.01,64,20,18.41
70,Touros,BR,2021-04-01 18:23:44,-5.1989,-35.4608,86.0,62,40,14.97
71,Meadow Lake,US,2021-04-01 18:23:44,34.8014,-106.5436,63.0,17,75,7.99
72,Lagoa,PT,2021-04-01 18:23:45,39.05,-27.9833,59.2,83,91,24.25
73,Tasiilaq,GL,2021-04-01 18:21:13,65.6145,-37.6368,30.2,80,75,1.14
74,Saskylakh,RU,2021-04-01 18:20:46,71.9167,114.0833,-36.8,100,100,5.08
75,Bredasdorp,ZA,2021-04-01 18:20:19,-34.5322,20.0403,60.8,67,93,4.61
76,Kavieng,PG,2021-04-01 18:23:46,-2.5744,150.7967,81.01,81,81,10.49
77,Severo-Kurilsk,RU,2021-04-01 18:23:46,50.6789,156.125,31.6,91,95,18.37
78,Labe,GN,2021-04-01 18:23:46,11.3182,-12.2833,93.16,9,9,7.74
79,Isoka,ZM,2021-04-01 18:23:47,-10.1606,32.6335,62.55,97,28,2.19
80,Saint Anthony,US,2021-04-01 18:23:48,45.0205,-93.218,39.99,30,1,10.36
81,New Norfolk,AU,2021-04-01 18:20:35,-42.7826,147.0587,57.99,76,100,2.42
82,Semnan,IR,2021-04-01 18:23:48,35.5729,53.3971,64.06,42,78,2.46
83,Hami,CN,2021-04-01 18:23:49,42.8,93.45,49.35,20,0,6.29
84,Sitka,US,2021-04-01 18:20:31,57.0531,-135.33,35.6,80,40,11.5
85,Hoquiam,US,2021-04-01 18:23:50,46.9809,-123.8893,51.01,76,40,8.05
86,Kushima,JP,2021-04-01 18:23:50,31.4583,131.2333,62.01,72,100,11.99
87,Leningradskiy,RU,2021-04-01 18:23:50,69.3833,178.4167,-4.54,96,100,2.89
88,Edremit,TR,2021-04-01 18:23:14,39.5961,27.0244,46.4,66,20,12.66
89,Ust-Kuyga,RU,2021-04-01 18:23:51,70.0167,135.6,3.29,96,100,4.59
90,Wattegama,LK,2021-04-01 18:23:51,6.7989,81.4808,77.0,100,1,5.75
91,Bethel,US,2021-04-01 18:23:52,41.3712,-73.414,44.01,73,100,3.0
92,Oktyabrskiy,RU,2021-04-01 18:20:13,54.4815,53.471,36.7,91,100,19.17
93,Dikson,RU,2021-04-01 18:20:25,73.5069,80.5464,-6.05,76,100,6.85
94,Yellowknife,CA,2021-04-01 18:22:44,62.456,-114.3525,15.8,73,75,16.11
95,Buchanan,LR,2021-04-01 18:23:53,5.8808,-10.0467,82.11,78,70,9.28
96,Blagoyevo,RU,2021-04-01 18:23:54,63.3667,47.9167,32.22,98,100,5.79
97,Oranjemund,NA,2021-04-01 18:23:54,-28.55,16.4333,61.93,83,0,13.02
98,Thinadhoo,MV,2021-04-01 18:22:00,0.5333,72.9333,83.84,78,100,16.2
99,Arman,RU,2021-04-01 18:23:55,59.7,150.1667,6.31,78,67,11.32
100,Faanui,PF,2021-04-01 18:23:55,-16.4833,-151.75,81.72,67,71,3.58
101,Lashio,MM,2021-04-01 18:23:56,22.9333,97.75,67.57,40,2,1.99
102,Barrow,US,2021-04-01 18:23:56,71.2906,-156.7887,-9.4,64,40,9.22
103,Ust-Tarka,RU,2021-04-01 18:23:57,55.5672,75.705,22.28,85,86,17.83
104,Ilovka,RU,2021-04-01 18:23:58,50.7053,38.637,46.71,67,27,7.72
105,Upernavik,GL,2021-04-01 18:23:58,72.7868,-56.1549,29.75,67,100,6.33
106,Petropavlovsk-Kamchatskiy,RU,2021-04-01 18:23:59,53.0452,158.6483,33.8,100,95,2.24
107,Hamilton,US,2021-04-01 18:22:47,39.1834,-84.5333,37.99,48,90,14.97
108,Nizwa,OM,2021-04-01 18:23:59,22.9333,57.5333,82.65,19,4,10.71
109,Kangra,IN,2021-04-01 18:24:00,32.1,76.2667,61.48,25,0,6.89
110,Souillac,MU,2021-04-01 18:24:00,-20.5167,57.5167,80.6,83,40,5.75
111,Patea,NZ,2021-04-01 18:24:01,-39.7583,174.4833,45.0,96,7,4.32
112,Itarema,BR,2021-04-01 18:24:01,-2.9248,-39.9167,84.58,68,84,13.89
113,Chokurdakh,RU,2021-04-01 18:24:02,70.6333,147.9167,-16.22,99,89,3.83
114,Berlevag,NO,2021-04-01 18:21:41,70.8578,29.0864,31.44,84,100,3.47
115,Chimoio,MZ,2021-04-01 18:24:03,-19.1164,33.4833,68.0,83,20,1.81
116,Uarini,BR,2021-04-01 18:24:03,-2.99,-65.1083,87.8,74,40,4.61
117,Ribeira Grande,PT,2021-04-01 18:20:23,38.5167,-28.7,62.6,82,40,20.71
118,Alofi,NU,2021-04-01 18:24:04,-19.0595,-169.9187,77.0,94,40,4.61
119,Lyndon,US,2021-04-01 18:24:04,38.2567,-85.6016,42.01,38,90,10.36
120,Srednekolymsk,RU,2021-04-01 18:20:55,67.45,153.6833,-24.65,100,91,4.61
121,Arraial Do Cabo,BR,2021-04-01 18:21:02,-22.9661,-42.0278,82.4,65,20,24.16
122,Riyadh,SA,2021-04-01 18:24:05,24.6877,46.7219,89.6,13,0,8.05
123,Cape Town,ZA,2021-04-01 18:24:06,-33.9258,18.4232,64.0,72,20,18.41
124,Xai-Xai,MZ,2021-04-01 18:24:06,-25.0519,33.6442,74.07,75,49,12.15
125,Victoria,HK,2021-04-01 18:20:53,22.2855,114.1577,79.0,83,64,7.76
126,Fukue,JP,2021-04-01 18:24:07,32.6881,128.8419,62.42,79,100,7.14
127,Deputatskiy,RU,2021-04-01 18:24:08,69.3,139.9,0.28,95,100,1.07
128,Mandera,KE,2021-04-01 18:24:08,3.9366,41.867,94.26,25,58,3.02
129,Westport,US,2021-04-01 18:24:08,41.1415,-73.3579,46.99,61,90,20.71
130,Lompoc,US,2021-04-01 18:19:15,34.6391,-120.4579,81.0,17,1,4.74
131,Katsuura,JP,2021-04-01 18:24:09,35.1333,140.3,57.2,77,75,11.5
132,Saint-Augustin,CA,2021-04-01 18:24:10,51.226,-58.6502,33.71,99,100,5.7
133,Sochi,RU,2021-04-01 18:23:08,43.6,39.7303,50.0,87,90,4.47
134,Alta Floresta,BR,2021-04-01 18:24:10,-9.8756,-56.0861,86.0,70,75,4.61
135,Lavrentiya,RU,2021-04-01 18:24:11,65.5833,-171.0,-5.33,91,100,1.41
136,Pervoye Maya,RU,2021-04-01 18:24:11,56.164,44.7196,37.4,100,90,11.18
137,Tilichiki,RU,2021-04-01 18:24:12,60.4667,166.1,25.21,96,100,5.68
138,Pitimbu,BR,2021-04-01 18:24:12,-7.4706,-34.8086,86.0,66,40,11.5
139,Sao Filipe,CV,2021-04-01 18:21:44,14.8961,-24.4956,74.53,70,1,11.45
140,Nabire,ID,2021-04-01 18:24:13,-3.3667,135.4833,76.28,92,100,2.3
141,La Serena,CL,2021-04-01 18:21:56,-29.9078,-71.2542,66.2,63,40,8.05
142,Port Elizabeth,ZA,2021-04-01 18:24:13,-33.918,25.5701,60.8,94,0,3.44
143,Muisne,EC,2021-04-01 18:24:14,0.6,-80.0333,86.0,79,75,8.05
144,Severnoye,RU,2021-04-01 18:24:14,56.3491,78.3619,20.44,81,95,16.49
145,Hofn,IS,2021-04-01 18:21:15,64.2539,-15.2082,45.43,67,10,6.85
146,Novoagansk,RU,2021-04-01 18:21:18,61.9449,76.6625,30.38,97,100,7.56
147,Okhotsk,RU,2021-04-01 18:24:15,59.3833,143.3,10.72,78,93,10.38
148,Sinnamary,GF,2021-04-01 18:24:16,5.3833,-52.95,81.43,71,93,12.53
149,San Pedro,PH,2021-04-01 18:24:16,14.35,121.0167,80.6,69,20,4.61
150,Los Llanos De Aridane,ES,2021-04-01 18:24:17,28.6585,-17.9182,68.0,73,40,6.91
151,Puerto Ayora,EC,2021-04-01 18:24:17,-0.7393,-90.3518,82.4,74,20,9.22
152,Hailar,CN,2021-04-01 18:24:18,49.2,119.7,37.26,96,100,8.59
153,Talnakh,RU,2021-04-01 18:24:18,69.4865,88.3972,-14.17,80,2,6.98
154,Cabra,ES,2021-04-01 18:24:19,37.4725,-4.4421,69.01,51,41,1.99
155,Arlit,NE,2021-04-01 18:24:19,18.7369,7.3853,83.98,7,0,8.84
156,Olafsvik,IS,2021-04-01 18:24:19,64.8945,-23.7142,40.75,82,99,12.88
157,College,US,2021-04-01 18:19:36,64.8569,-147.8028,5.0,66,75,5.75
158,Port Lincoln,AU,2021-04-01 18:24:20,-34.7333,135.8667,68.11,69,0,7.2
159,Hovd,MN,2021-04-01 18:24:20,48.0056,91.6419,27.05,66,95,3.29
160,Merauke,ID,2021-04-01 18:24:21,-8.4667,140.3333,77.0,91,100,6.29
161,San Andres,CO,2021-04-01 18:24:21,12.5847,-81.7006,87.8,66,20,17.27
162,Hirara,JP,2021-04-01 18:24:22,24.8,125.2833,75.31,91,5,9.08
163,Rio Grande,BR,2021-04-01 18:24:23,-32.035,-52.0986,75.2,69,75,9.22
164,Anchorage,US,2021-04-01 18:24:23,61.2181,-149.9003,19.4,45,90,8.05
165,Khatanga,RU,2021-04-01 18:21:15,71.9667,102.5,-37.03,100,12,2.55
166,San Patricio,US,2021-04-01 18:24:24,28.017,-97.5169,69.8,24,90,19.57
167,Guerrero Negro,MX,2021-04-01 18:23:00,27.9769,-114.0611,76.06,30,2,9.95
168,Batagay-Alyta,RU,2021-04-01 18:22:31,67.8006,130.4114,-5.6,99,97,2.48
169,Barcelos,PT,2021-04-01 18:24:25,41.5388,-8.6151,62.01,77,40,2.3
170,Castro,BR,2021-04-01 18:24:25,-24.7911,-50.0119,71.69,40,20,3.67
171,Ponta Do Sol,PT,2021-04-01 18:21:01,32.6667,-17.1,68.0,68,20,11.5
172,Paamiut,GL,2021-04-01 18:24:26,61.994,-49.6678,36.7,80,100,41.29
173,Hasaki,JP,2021-04-01 18:20:54,35.7333,140.8333,55.0,87,75,2.3
174,Asosa,ET,2021-04-01 18:24:27,10.0667,34.5333,74.93,28,33,1.99
175,Lebu,CL,2021-04-01 18:24:27,-37.6167,-73.65,61.02,79,74,11.63
176,Chapais,CA,2021-04-01 18:24:28,49.7834,-74.8492,15.8,62,75,17.27
177,Yulara,AU,2021-04-01 18:24:29,-25.2406,130.9889,66.2,34,0,6.91
178,Levelland,US,2021-04-01 18:22:26,33.5873,-102.378,64.0,20,20,11.5
179,Ilulissat,GL,2021-04-01 18:24:29,69.2167,-51.1,33.8,75,90,19.57
180,Avarua,CK,2021-04-01 18:24:30,-21.2078,-159.775,80.6,74,20,3.44
181,Chicama,PE,2021-04-01 18:24:30,-7.8447,-79.1469,68.0,88,40,11.5
182,Bogorodskoye,RU,2021-04-01 18:24:31,56.55,37.8833,33.76,99,100,4.0
183,Teacapan,MX,2021-04-01 18:24:31,22.55,-105.75,80.98,43,69,9.01
184,Kefamenanu,ID,2021-04-01 18:24:32,-9.4467,124.4781,71.29,96,100,0.87
185,Kovdor,RU,2021-04-01 18:24:32,67.5662,30.4758,27.03,95,97,3.85
186,Teya,RU,2021-04-01 18:24:33,60.3778,92.6267,21.04,96,100,2.33
187,Bandung,ID,2021-04-01 18:23:49,-6.9039,107.6186,69.35,83,100,3.38
188,Dingle,PH,2021-04-01 18:24:34,10.9995,122.6711,75.33,86,99,7.9
189,Torbay,CA,2021-04-01 18:21:09,47.6666,-52.7314,46.0,49,75,2.3
190,Lasa,IT,2021-04-01 18:24:34,46.6166,10.7002,73.4,50,0,5.75
191,Makakilo City,US,2021-04-01 18:24:35,21.3469,-158.0858,75.2,69,20,8.05
192,Beian,NO,2021-04-01 18:24:35,63.6559,9.5683,41.0,87,75,19.57
193,Amli,IN,2021-04-01 18:24:36,20.2833,73.0167,76.89,78,2,5.88
194,Clyde River,CA,2021-04-01 18:20:56,70.4692,-68.5914,-13.0,70,1,23.02
195,Planaltina,BR,2021-04-01 18:20:45,-15.4528,-47.6142,81.0,57,75,11.5
196,Kulhudhuffushi,MV,2021-04-01 18:24:37,6.6221,73.07,84.13,77,92,10.8
197,Mahebourg,MU,2021-04-01 18:20:42,-20.4081,57.7,80.6,83,40,5.75
198,Plettenberg Bay,ZA,2021-04-01 18:24:37,-34.0527,23.3716,61.29,79,91,4.52
199,Belaya Gora,RU,2021-04-01 18:24:38,68.5333,146.4167,-17.5,100,75,1.88
200,Jablah,SY,2021-04-01 18:24:38,35.3614,35.9256,53.6,87,40,6.91
201,San Carlos De Bariloche,AR,2021-04-01 18:24:39,-41.1456,-71.3082,62.6,59,75,6.91
202,Santa Maria Del Oro,MX,2021-04-01 18:24:39,25.9333,-105.3667,65.82,57,99,9.55
203,Dicabisagan,PH,2021-04-01 18:24:40,17.0818,122.4157,75.15,85,17,3.6
204,Coihaique,CL,2021-04-01 18:24:40,-45.5752,-72.0662,55.4,76,90,5.75
205,Petropavlovka,RU,2021-04-01 18:24:41,50.6114,105.3196,29.26,75,88,2.91
206,Quatre Cocos,MU,2021-04-01 18:24:42,-20.2078,57.7625,80.6,83,40,5.75
207,Taltal,CL,2021-04-01 18:24:42,-25.4,-70.4833,68.59,67,4,7.78
208,Salalah,OM,2021-04-01 18:21:13,17.0151,54.0924,82.4,69,0,2.3
209,Acapulco,MX,2021-04-01 18:24:43,16.8634,-99.8901,95.0,41,20,10.36
210,Costa Rica,BR,2021-04-01 18:21:52,-23.4167,-54.65,79.32,41,82,3.6
211,Langenburg,DE,2021-04-01 18:24:43,49.2544,9.8458,66.2,42,0,6.91
212,Manta,EC,2021-04-01 18:24:44,-0.95,-80.7333,86.0,62,40,8.05
213,Nikolskoye,RU,2021-04-01 18:24:45,59.7035,30.7861,37.4,70,0,6.71
214,Kaitangata,NZ,2021-04-01 18:20:27,-46.2817,169.8464,57.0,82,100,13.0
215,Nieuw Amsterdam,SR,2021-04-01 18:24:45,5.8833,-55.0833,82.0,78,75,9.22
216,Sakaiminato,JP,2021-04-01 18:24:46,35.55,133.2333,51.8,82,40,16.11
217,Kiama,AU,2021-04-01 18:24:47,-34.6833,150.8667,60.01,91,81,3.42
218,Tazovskiy,RU,2021-04-01 18:24:47,67.4667,78.7,7.07,91,100,20.07
219,Zaraza,VE,2021-04-01 18:24:48,9.3503,-65.3245,97.43,27,98,8.52
220,Igrim,RU,2021-04-01 18:24:48,63.1906,64.4162,29.08,97,99,5.26
221,Daru,PG,2021-04-01 18:24:49,-9.0763,143.2092,77.25,91,100,4.52
222,Taunggyi,MM,2021-04-01 18:24:50,20.7833,97.0333,64.62,35,0,3.51
223,Leshukonskoye,RU,2021-04-01 18:24:50,64.8989,45.7622,28.98,97,97,3.56
224,Cabo San Lucas,MX,2021-04-01 18:23:32,22.8909,-109.9124,80.6,53,40,6.91
225,Saint George,US,2021-04-01 18:19:53,37.1041,-113.5841,68.0,12,1,3.44
226,Kahului,US,2021-04-01 18:23:06,20.8947,-156.47,75.2,78,20,12.66
227,Emba,KZ,2021-04-01 18:24:51,48.8264,58.1442,18.52,74,3,6.17
228,Longavi,CL,2021-04-01 18:24:52,-35.9667,-71.6833,80.37,26,10,5.37
229,Coquimbo,CL,2021-04-01 18:21:30,-29.9533,-71.3436,66.2,63,40,8.05
230,Riberalta,BO,2021-04-01 18:23:25,-10.9833,-66.1,86.0,66,75,11.5
231,Tocopilla,CL,2021-04-01 18:24:53,-22.092,-70.1979,72.45,67,12,10.71
232,Sambava,MG,2021-04-01 18:24:54,-14.2667,50.1667,78.04,87,73,10.83
233,Bayan,CN,2021-04-01 18:24:54,46.0833,127.4,44.11,58,100,7.83
234,Teguise,ES,2021-04-01 18:24:55,29.0605,-13.564,71.6,56,20,13.8
235,Parral,MX,2021-04-01 18:24:55,26.9333,-105.6667,60.39,56,95,17.07
236,Jalu,LY,2021-04-01 18:24:56,29.0331,21.5482,63.73,32,2,6.62
237,Frederico Westphalen,BR,2021-04-01 18:24:56,-27.3592,-53.3944,72.0,53,21,7.0
238,Avera,US,2021-04-01 18:24:57,33.194,-82.5271,60.01,23,1,13.8
239,Kushiro,JP,2021-04-01 18:21:15,42.975,144.3747,36.34,88,39,3.2
240,Rawson,AR,2021-04-01 18:20:52,-43.3002,-65.1023,68.85,51,100,8.55
241,Kendari,ID,2021-04-01 18:24:58,-3.945,122.4989,75.65,94,98,3.11
242,Riwaka,NZ,2021-04-01 18:24:58,-41.0833,173.0,55.0,97,55,3.24
243,Otaru,JP,2021-04-01 18:24:59,43.1894,141.0022,33.01,81,0,3.8
244,Teguldet,RU,2021-04-01 18:21:17,57.3064,88.1667,23.63,87,100,11.59
245,Tura,IN,2021-04-01 18:25:00,25.5198,90.2201,70.79,38,0,5.37
246,Murmashi,RU,2021-04-01 18:25:00,68.8154,32.8115,32.0,93,75,6.71
247,Peshawar,PK,2021-04-01 18:25:01,34.008,71.5785,75.2,9,0,32.21
248,Svetlopolyansk,RU,2021-04-01 18:25:02,59.4184,52.3605,32.85,93,99,9.24
249,Nidzica,PL,2021-04-01 18:25:02,53.3605,20.4275,39.2,87,75,14.97
250,Port Blair,IN,2021-04-01 18:25:04,11.6667,92.75,79.57,70,100,5.46
251,Dabola,GN,2021-04-01 18:25:04,10.75,-11.1167,99.79,12,10,6.62
252,Manaure,CO,2021-04-01 18:25:05,11.7751,-72.4445,87.19,53,100,24.96
253,Hope Mills,US,2021-04-01 18:24:09,34.9704,-78.9453,57.2,33,1,12.66
254,Havelock,US,2021-04-01 18:25:05,34.8791,-76.9013,50.0,87,90,16.11
255,Mosquera,CO,2021-04-01 18:25:06,4.7059,-74.2302,68.0,45,75,5.75
256,Aguimes,ES,2021-04-01 18:25:06,27.9054,-15.4461,70.0,68,20,24.16
257,Nanortalik,GL,2021-04-01 18:20:18,60.1432,-45.2371,38.03,79,80,9.1
258,Nong Bua,TH,2021-04-01 18:25:07,15.8646,100.5858,85.5,56,62,9.44
259,Nishihara,JP,2021-04-01 18:25:07,26.1842,127.7558,75.2,94,90,8.05
260,Bandarbeyla,SO,2021-04-01 18:25:08,9.4942,50.8122,78.96,67,27,7.25
261,Krasnoselkup,RU,2021-04-01 18:25:08,65.7,82.4667,11.52,92,100,18.88
262,Sao Gabriel Da Cachoeira,BR,2021-04-01 18:25:09,-0.1303,-67.0892,86.0,70,40,3.44
263,Bathsheba,BB,2021-04-01 18:25:09,13.2167,-59.5167,84.2,48,40,19.57
264,Mar Del Plata,AR,2021-04-01 18:21:16,-38.0023,-57.5575,68.0,68,40,11.5
265,Roma,US,2021-04-01 18:23:55,43.2128,-75.4557,39.2,65,90,10.36
266,Lewiston,US,2021-04-01 18:25:10,44.1003,-70.2148,45.0,75,90,14.97
267,Swarzedz,PL,2021-04-01 18:25:11,52.4129,17.085,55.99,67,0,8.05
268,Candido Mendes,BR,2021-04-01 18:25:11,-1.4467,-45.7167,81.09,85,65,5.44
269,Alyangula,AU,2021-04-01 18:21:56,-13.8483,136.4192,79.72,73,100,9.24
270,Broken Hill,AU,2021-04-01 18:24:19,-31.95,141.4333,60.8,51,0,4.61
271,Evensk,RU,2021-04-01 18:25:13,61.95,159.2333,17.76,83,100,14.92
272,Tarko-Sale,RU,2021-04-01 18:21:11,64.9225,77.785,26.55,96,100,12.62
273,Kerrobert,CA,2021-04-01 18:25:14,51.9168,-109.1348,50.0,43,90,14.97
274,Longyearbyen,SJ,2021-04-01 18:20:30,78.2186,15.6401,30.2,69,75,14.97
275,Chiredzi,ZW,2021-04-01 18:25:14,-21.05,31.6667,70.99,46,16,6.69
276,Mana,GF,2021-04-01 18:25:15,5.6592,-53.7767,80.6,75,82,10.98
277,Brae,GB,2021-04-01 18:25:16,60.3964,-1.353,44.6,70,75,12.66
278,Yanam,IN,2021-04-01 18:25:16,16.7333,82.2167,77.16,96,70,3.49
279,Mitsamiouli,KM,2021-04-01 18:25:17,-11.3847,43.2844,82.87,74,27,8.19
280,Kamina,CD,2021-04-01 18:25:17,-8.7386,24.9906,66.51,94,50,3.53
281,Bonavista,CA,2021-04-01 18:25:18,48.6499,-53.1147,48.2,53,33,5.75
